Frase,HybridFunction,Tiempo_Hybrid,DiscriminatoryIteration,Tiempo_Discriminatory,GreedyPassword,Tiempo_Greedy,AleatoryIteration,Tiempo_AleatoryIter,AleatoryGeneration,Tiempo_AleatoryGen
"luismorales88","Lu!$M0r4|3S88",0.0632174,"LU¡$M0R@|E588",4.6e-06,"|U!$M0R@LE588",3.29e-05,"Lu!SmOr4|€s88",6e-06,"lU!5MoRaL€S88",1.9e-06
"veronicadiaz99","v3RON!<4d|aZ99",0.0633361,"vER0n¡<@D!4299",4.7e-06,"VER0n!<@D14299",3.75e-05,"veron¡c4DiA299",5.6e-06,"vEROn1cADIa299",1.4e-06
"antonioflores77","4NT0nIoF|Or3577",0.516769,"4n+0N¡OF|oRE$77",6.7e-06,"@n+0N!OF|oRE$77",2.85e-05,"aNt0Ni0FLor€577",4.8e-06,"@nToniOFL0r€S77",1.7e-06
"gabrielrojas22","64bR!3LrOj@$Zz",0.74398,"g@8R¡E|r0J4$Zz",4.8e-06,"9@8R!E|r0J4$Zz",5e-05,"648r¡€lROjA5Zz",6.4e-06,"GA8r¡e|R0Ja$Zz",1.5e-06
"isabelgomez33","!5@bE|gOMeZ3e",0.483864,"i$@8E|90M€23e",6.6e-06,"¡$@8E|90M32e3",3.95e-05,"is@8€LG0mE2E3",4.8e-06,"¡S@B3lg0m3z3€",2.2e-06
"rodrigotorres44","r0dr!Go+ORR3$44",0.481794,"r0DR¡9O+oRrE$44",5.7e-06,"R0Dr!9O+orRE$44",4.14e-05,"r0dR¡9OT0Rr€544",7.8e-06,"ROdrI6oTORre$44",1.1e-06
"marianalopez55","m4r|anAlOp3ZSs",1.10455,"m@R¡4na|0PE2Ss",5e-06,"M@R!4na|0PE2Ss",3.33e-05,"MaR!AnAlop3Zs5",4.9e-06,"MAr!ANA|opez55",1.1e-06
"victorsalas66","v1(T0rs4L@$6g",0.192505,"v¡<+0R$@|45Gg",4.9e-06,"V¡<+0R$@|45G6",3.92e-05,"victoRsAl@SGG",5e-06,"vICtORsAla5Gg",1.6e-06
"angelamora777","4Ng3|@mOrA777",0.077579,"4n9E|@M0Ra777",3.4e-06,"@n9E|4M0Ra777",2.04e-05,"4N9€|amOR@777",4.7e-06,"ANG€lAM0R4777",1.6e-06
"camiloarias888","(4m!L0arIAS888",0.152012,"c@M¡|04R!a$888",6e-06,"<@M!|04R1a$888",3.7e-05,"Cam!l0@r!@S888",4.7e-06,"(am¡LOaRI4S888",1.4e-06
"television2020","+3LEVI$l0nZozO",0.971105,"tE|€V¡$!0nZOzo",9.7e-06,"+E|3V!$10nZOzo",5.89e-05,"+€|3v!sI0nzoZ0",4.1e-06,"tE|3vi$IOnZ0zO",1e-06
"cocinamesa123","(0<1N4mEs@|Ze",0.170811,"c0<¡n@ME$4|Z€",7.2e-06,"<0(!n@ME$4|Z3",4.34e-05,"<O<¡nam3S41ZE",5.2e-06,"<oC¡nam€$4I23",2.3e-06
"puertaventana77","puER+4V3Nt@na77",0.249108,"PUER+@V€nT4Na77",6.4e-06,"PUER+@V3nT4Na77",2.81e-05,"PveR+AVEn+@n@77",4.1e-06,"PVERt4VEntAna77",1.2e-06
"sillamesa9999","51|l4m3Sa9999",0.0309527,"$¡|L@ME549999",3.7e-06,"$¡|L@ME549999",2.61e-05,"$¡||@m€$49999",0.0580992,"Si||4MESA9999",1.6e-06
"cochecarro2020","(O<HEC@Rr0Zoz0",1.13047,"(0<HEC@RrOZozO",5.5e-06,"<0(HEC@RrOZozO",3.28e-05,"(oCheC4RroZO2o",3.2e-06,"<0ch€c@RR0zo2O",2.1e-06
"trenrapido111","TrENR4P|d0l1I",0.17919,"tREnr@P¡D0|Il",7.3e-06,"+REnr@P!D0|Il",3.53e-05,"trEnr@pIdo|lI",3.9e-06,"tr€nRaPIdo1Il",1.1e-06
"avionligero22","4v10n|IG3ro2Z",0.536652,"aV¡0n|!9EROZz",5.1e-06,"@V!0n|19EROZz",3.09e-05,"@V!ONl16€r02Z",4.6e-06,"@v¡0NLI9ERozz",1.4e-06
"barcopesquero33","b@r<Op3$quER03e",2.3405,"B@R<0PE$QU€rO3e",7.7e-06,"8@R<0PE$QU3rOeE",3.81e-05,"b@R<0p€5QveRoEe",4.5e-06,"B@r(opESQVErOe€",1.4e-06
"marprofundo44","m4RprOfuNdo44",0.265853,"M@RPr0FUnDO44",4.5e-06,"M@RPr0FUnDO44",2.09e-05,"marPRoFUndO44",2.9e-06,"M4rpRofund044",1e-06
"rioancho555","r!04n(ho$S5",0.1133,"R¡0@n<HOSs5",5e-06,"R¡0@n<HOSs5",2.09e-05,"R¡O@n(hO5s$",4.8e-06,"rio4N(H0SSS",9e-07
"valeriacruzluna2020","v4L3R!@<ru2|VNAzOZ0",18.6914,"v@|ER¡4<rU2LunaZOz0",1.6e-05,"V@|ER!4<rU2LunaZOz0",6.14e-05,"VALErI4<RUZ|unazo2o",4.9e-06,"VALEr!4<RU2lvnAz02O",1.4e-06
"montanaverdebrillo18","mOnT@NaV3rdebR!|lo18",8.22046,"M0n+@N4VERD€8r¡|LOI8",8.5e-06,"M0n+@N4VERD38r!|LOI8",0.0010415,"MONt4nAv3rD38r1|L0l8",4.8e-06,"mon+4N4vErd38riLlo18",1.6e-06
"caminolargoestrella19","(4m!N0L@rGo3$TREl|AI9",16.1207,"<@M¡n0|4R9OE$+r€LlaI9",2.42e-05,"<@M!n0|4R9OE$+r3LlaI9",6.28e-05,"c@m¡no|4rgo€$Tre||@19",4.9e-06,"CaMIn0L4rgoE$tr3lLA|9",1.2e-06
"lluviaconstante2021","LluvI@(0N$+4nT3zo2|",4.64662,"L|UV¡@<0n$+4NTEZOzI",1.25e-05,"|LUV!@<0n$+4NTEZOzI",6.04e-05,"l|Uv1@(on$T4NT3z02I",1.07e-05,"L|vVI@cON$t4nt320Zl",1.5e-06
"solradiantefuerza22","5O|r@DlaNTEfueR2AzZ",25.3133,"$0|R@D¡4n+EFU€r2aZz",1.88e-05,"$0|R@D!4n+EFU3r2aZz",5.81e-05,"5olR4d¡anT€fv€rZ@zz",5.5e-06,"s0|R4DI4N+3FverZazZ",1.7e-06
"ciudadgrandealegria17","(1ud4D6RanD3A|E9r!@l7",7.46442,"C¡UD@d9R4nDEa|€6r!AI7",1.12e-05,"<¡UD@d9R4nDEa|36r!AI7",6.94e-05,"c¡vDadgRaNDEAle9RiaI7",6e-06,"<IVD@d9R4ND3@|egr¡al7",2e-06
"rioprofundoencanto20","r10pROFunDOEN<4N+o2o",27.4363,"R¡0PrOFUnDoEN<@n+0ZO",9.5e-06,"R¡0PrOFUnDoEN<@n+0Z0",8.82e-05,"rI0PrOfuNDo€n<an+O2O",5.7e-06,"RiOPRoFundoEN<AnT0ZO",1.6e-06
"nubeligeraesperanza19","Nub3|L6eR@E5pEr4n2al9",20.057,"nU8E|¡9€R@3$Per4N2aI9",1.32e-05,"nU8E|!93R@e$P3r4N2aI9",6.59e-05,"NU83|IG€R4€$pER4N2419",5.1e-06,"NU8e|163RaesPerANZal9",1.8e-06
"fuegosagradovida2022","fuEG0s@9radoV!D42OZz",17.4281,"FUE90$@6R4DOV¡daZoz2",1.64e-05,"FUE90$@6R4DOV!daZoz2",7.52e-05,"fUE6O$A9r4D0V!D@Z022",5.9e-06,"fV€go5A9rAdoV¡dAz02Z",2e-06
"playaarenadorada16","pL4yaar3N@D0RAd@!G",1.85448,"P|@Y4aREnAD0r@d4IG",6.2e-06,"P|@Y4aREnAD0rad@IG",6.02e-05,"plAya@r€n@DOR4Da|6",5.5e-06,"P|aY@ArEn4DORAda|G",1.5e-06
"bosquetupidooscuro18","bO5Qu3TvP|Do0$(VrOl8",11.5324,"B0$QUE+uP¡DOo5<VR0|8",1.1e-05,"80$QUE+uP!DOo5<VR0|8",7.13e-05,"bosQU€tUP1do0s<URO|8",5.4e-06,"80$Qu€TVpIdO05(urOI8",2e-06
"vientofuertehojas19","v!EN+0fueRt3hoj@s|9",4.84393,"V¡En+0FU€RT3HOJ@$|9",1.02e-05,"V¡En+0FU3RTeHOJ@$|9",5.39e-05,"vI3n+oFU€rtEHOJas|9",4.5e-06,"VI3NTofu€r+EhOJ@SI9",1.4e-06
"frutamaduramango20","fRuT4MadvrAm@n602o",6.70592,"fRU+@M4DuramAn90ZO",8e-06,"FRU+@M4DuramAn90ZO",6.04e-05,"frut@m@DvrAManGozo",5.2e-06,"FRuTAm4DuR4mangO2O",1.4e-06
"perrofelizjugueton17","p3rrOFe|lZjU9vE+oN17",16.9682,"PERr0F€|¡2JU9u3+OnI7",1.35e-05,"PERr0F3|!2JU9ue+OnI7",9.7e-05,"P€RroFELIzjVguE+ON17",5.9e-06,"P€rrOF3l¡zjU9ueT0n17",2.1e-06
"gatocuriosoluz2023","6@+0(UR!o$0|v2ZOzE",9.94814,"g@+0<UR¡O$o|u2ZOzE",8.5e-06,"9@+0<UR!O$o|u2ZOzE",5.82e-05,"GaT0cUr1O50lVZ2oZE",5e-06,"gaTO(Vr1o$oLUZzoze",1.7e-06
"pezrapidorio2024","pE2R@P!D0rLoZOz4",1.85627,"pE2R@P¡D0r!OZoz4",6.7e-06,"PE2R@p!D0r1OZoz4",3.73e-05,"P3ZraP!D0r10Zo24",4.2e-06,"pezr@P¡dor10z0z4",2.1e-06
"lunacrecientefase18","Lun4(REC13NT3fA$e|8",4.13616,"|Un@<RE(¡€N+3F4$eI8",8.3e-06,"|Un@<RE(!3N+eF4$EI8",5.72e-05,"Lvn@Crec!3n+3fa$El8",5.7e-06,"|VNACR3ci3nT€fA$€l8",2.2e-06
"mercadolleno2025","m3R(@dOL|eN0Zo2s",2.20984,"MER<@D0|L€nOZozS",8.3e-06,"MER<@D0|L3nOZozS",5.64e-05,"mErC4DoLL€no2oZS",3.7e-06,"M€R<aD0||€nOzo2S",1.5e-06
"colegionuevovida19","(OLEg!oNuev0VId4l9",3.02079,"(0|E9¡OnU€Vov!D@I9",1.06e-05,"<0|E9!OnU3Vov1D@I9",5.12e-05,"(Ol€giOnUeV0v¡daI9",5.7e-06,"<0|e61onv3Vov!DA19",1.3e-06
"trabajodurofirme20","Tr4b@j0DURoFIRM3ZO",17.9723,"+R@84J0DUrOF¡RMEZo",2.06e-05,"+R@84J0DUrOF!rMEZo",5.31e-05,"tr4B4JodVroFIRM€Z0",4.6e-06,"Tr@8AjOdVr0F¡Rmezo",1.4e-06
"oficinallenaactiva18","Of!(IN@|L3n4a<+ivA|8",2.04622,"oF¡<!n@|LEN4a(+1VAI8",1.31e-05,"0F!<1n@|LEN4a(+IVAl8",7.02e-05,"0F!cINAlLEn44(tiVAI8",4.6e-06,"0FiCIn@L|3na@<tIv@I8",1.3e-06
"puentelargoseguro19","puENT3L@R60SeGvrO|9",4.63327,"PUEn+€|@R90$36urOI9",8.6e-06,"PUEn+3|@R90$e6urOI9",5.93e-05,"PUenT€LAr90sEgvR019",5.5e-06,"pU3nTe|4r9OsE9UrOl9",1.7e-06
"carrorapidoveloz20","(4rR0r@P!dov3|02zO",12.9065,"c@Rr0R4P¡DOVE|o2ZO",7e-06,"<@Rr0R4P!DOVE|o2ZO",4.68e-05,"<ARror4P¡dOv3lO2ZO",5.1e-06,"carrOraP¡Dov3LOz2o",1.8e-06
"bicicletanueva2022","b1<I(L3T@NueV4ZO2z",4.69554,"8¡<!(|E+@nU€V4ZOz2",1.61e-05,"8¡<!(|E+@nU3V4ZOz2",7.46e-05,"BI<¡(|e+AnVeV4zOZz",5.2e-06,"biC¡CL3+4nuEvAzOz2",4.2e-06
"avionligerovuelo18","4v1ON|!93roVuEl0I8",7.97458,"@V¡0n|!9EROvU€LoI8",1.86e-05,"@V!0n|19EROvU3LoI8",5.21e-05,"4V!onli93Rovv3lOI8",3.8e-06,"Av¡ONLigeROVve|o18",1.6e-06
"barcovelozpesca2023","b4R(0V3LO2pE$<@zoZe",10.5802,"8@R<0VE|O2P€$(4Zoz3",1.23e-05,"8@R<0VE|O2P3$(4Zoze",6.93e-05,"bARCOV3|O2PEs<a2Oz3",5.2e-06,"b4rcoVe|0zP€s(42OzE",2.2e-06
"camisalimpiaorden20","(4m|$@l1MPIA0rdEN2O",14.8244,"(@M¡$4|!mP1a0RDEnZO",1.15e-05,"<@M!$4|1mPIa0RDEnZO",6.03e-05,"(AmiSAL1MPi@oRDEnzO",5.3e-06,"C@Mi$@|imp!@ordEN2o",1.5e-06
"zapatoelegante2024","Z4paTO3|e9AN+E2oz4",4.31034,"2@P4+0E|€9anT3ZOz4",8.3e-06,"2@P4+0E|39anTeZOz4",5.08e-05,"2ap@tO€L394NTeZ0Z4",6e-06,"z4pAT0€|3GAn+€2024",2.1e-06
"sombreroanchoazul19","5OMbrERo@N(h0aZU|I9",4.07585,"s0M8RErO@n<Ho42U|I9",7.2e-06,"$0M8RErO@n<Ho42U|I9",5.83e-05,"$0MBREr0aNCHOaZU||9",5.2e-06,"5oM8r€RO4nchO4ZvLl9",3e-06
"pantalongriscorto18","p4N+@L0n6RI$<Orto|8",4.33851,"p@n+4|0N9R¡$<OrToI8",1.5e-05,"P@n+4|0N9R!$<OrToI8",0.0001272,"p4NT@lON9Ri5<0rTo|8",8.7e-06,"pAnt4|0nGr1$C0rTo|8",2.1e-06
